youtube_id,label
c---zaDCTaE,Church bell
fCZi6I6kPpU,Church bell
EV1bVf8Bldk,Church bell
OXvrQ0XIAeM,Church bell
DxQmMOIMRt0,Church bell
lDo2BlqTNhs,Church bell
rqkPh5iYujg,Church bell
WBdWZGDIQ5E,Church bell
bzWIuMC8Vl8,Church bell
qRUirWhTreY,Church bell
8H9eDAVMtMc,Church bell
qFh2hzDKpOQ,Church bell
5wHd0VafUAA,Church bell
tEx2DyBtFuk,Church bell
5mBCF05DV5s,Church bell
PBNiUVkJn9U,Church bell
2wrDhwN-NvQ,Church bell
TKd9459xiBk,Church bell
dnGW30q_7IA,Church bell
mywvRrNg2IE,Church bell
k9QU0rLvu70,Church bell
BypBw80i7GA,Church bell
F9zSHQFLLOg,Church bell
5hGZVNAzZ1U,Church bell
0FBFWPKJNIU,Church bell
_QQP43H56TA,Church bell
8-b-6bZ2q18,Church bell
EMENiImb_1Y,Church bell
FBNg2jl_K7c,Church bell
Ttqaq9OhRZ4,Church bell
sHeesHmUoIo,Church bell
b6nkPmL55po,Church bell
ChHA4I5DWVo,Church bell
howjD-RiwKA,Church bell
NwfdXxNB6zs,Church bell
5UAwQRotU9Q,Church bell
ljRo59Lb71I,Church bell
i7LbVHMrs_8,Church bell
RUQfqCEo734,Church bell
HtT13EI1_tA,Church bell
N_bL5F7K9IA,Church bell
iMBjRWoBkoI,Church bell
NlNaUpYSagQ,Church bell
utIXg-Dp2Yg,Church bell
F70PNukSzMw,Church bell
mkijyf_P1Wo,Church bell
iAendlwoWYU,Church bell
TTYevyM_tUw,Church bell
vX8BvVKMfqc,Church bell
e-MkVbRmlIo,Church bell
g0DAdD46HB0,Church bell
mgsi5Glqi7g,Church bell
B1tbHqjK434,Church bell
-mlWcker_3o,Church bell
ah-Z4NPR1v0,Church bell
kPsni0gM26A,Church bell
235CwPMzBUU,Church bell
Wlx6cREoAo4,Church bell
gxI_VHCV6qM,Church bell
Dzb1TlmWmYM,Church bell
WM5R44UMLq0,Church bell
iHCnXCi1-Xg,Church bell
Xq5oTX4-Hnc,Church bell
VWi2ENBuTbw,Church bell
RUhOCu3LNXM,Church bell
nRKU5Ns6cnU,Church bell
AiJTCFtN0BY,Church bell
l0QJ30VXvGA,Church bell
0A0xlHVADkw,Church bell
aMqrOEG5AxE,Church bell
4vjDR_uDA-Q,Church bell
FMlIzLuIGzw,Church bell
Puo5cNcwawA,Church bell
LV4ueNAZVrM,Church bell
4c0uLxgFiVc,Church bell
WW8Scmk5YsM,Church bell
4akybxlJ67I,Church bell
LZYidtJoWO8,Church bell
LVfwQqtcSfw,Church bell
pkdMwCqjtzw,Church bell
eLJ-1bzHleU,Church bell
gtqH0ghizQo,Church bell
v-fC_-v8gj0,Church bell
1mOHH9xPSRI,Church bell
MCINU6Rb75E,Church bell
ovlSmajJXxc,Church bell
XtayTXu581w,Church bell
1_4j6VRHZAw,Church bell
Qocj8lVXvWA,Church bell
e_5ngCwYckE,Church bell
3IQHzT5O89g,Church bell
rAk7tyXYIU8,Church bell
Zlwu4AROYzg,Church bell
nUo8RVTx_d4,Church bell
Gavpgq1WWh4,Church bell
IW-EBHnhHAI,Church bell
oM5CRdBtKao,Church bell
9U3n8WVLTKQ,Church bell
oKkx_7snEP8,Church bell
qMZ1nj4fDas,Church bell
88pXcwZowhM,Church bell
QPXMFPTuxJM,Church bell
b63av9FMnMA,Church bell
otz4AffLKKA,Church bell
cjhDu8BokA0,Church bell
i5DOcfr2h18,Church bell
aMacjQ9_4FY,Church bell
fbjHO8McLxk,Church bell
HE6-xn3yROY,Church bell
V8jbmbQk0yI,Church bell
RmnYpN3XxXw,Church bell
iXpsqeezqJg,Church bell
7DbsH87BZHs,Church bell
MQLRFWXq8MY,Church bell
2GhLSOPjGMA,Church bell
80TUHi-3QuI,Church bell
Rnc4N2vVoV8,Church bell
aAM11PIFB4I,Church bell
Sqgc73hM6kA,Church bell
LUio86WKdfc,Church bell
tr-C-X-GOXk,Church bell
Rar7ZLJbxO8,Church bell
kXsp1e7LuvA,Church bell
JYtxd-8D6OU,Church bell
Tc1822d78oA,Church bell
g74_yD24iks,Church bell
-J2WJaG1Dd4,Church bell
g4yvlYbG1Mg,Church bell
D-1zfO68xNg,Church bell
frml0pfb_Jk,Church bell
HeZr6sKmSgM,Church bell
e0vkDOf20AU,Church bell
dS8UpWyUilQ,Church bell
f8uli6eFAss,Church bell
dVeOxT3fT8c,Church bell
GEJqlH0mCX8,Church bell
3uDl8Uyu-Fc,Church bell
aCFSsc8Q4So,Church bell
oCYJZmi--QQ,Church bell
7KKnsh4AkQk,Church bell
g55aHorM9fc,Church bell
uYB1VQ52h6s,Church bell
FuKgspEtMTo,Church bell
MH3m4AwEcRY,Church bell
A7L1ppU17Is,Church bell
d88slBelHe8,Church bell
TEAHz5kw8dM,Church bell
b3AAWs6-uas,Church bell
eRF4KAXdn0w,Church bell
gjCew0Kp0iM,Church bell
3ABx8xzQcs4,Church bell
C6PT_vPExmc,Church bell
0I_WwkebbeM,"Male speech, man speaking"
-ccciEuH9FE,"Male speech, man speaking"
0PGdsvvYLag,"Male speech, man speaking"
0KRqW2_b2wI,"Male speech, man speaking"
00N83yxKYUI,"Male speech, man speaking"
0FJMXT1NJQM,"Male speech, man speaking"
08IBKf1jJQ8,"Male speech, man speaking"
-UCPBAWhQAM,"Male speech, man speaking"
0RrXwp-m6uY,"Male speech, man speaking"
0779k0IOxkw,"Male speech, man speaking"
-AVfxHm4Y9A,"Male speech, man speaking"
0LJrMyxxxfo,"Male speech, man speaking"
-Yus8Ut2fUE,"Male speech, man speaking"
-Jnhn1NE54g,"Male speech, man speaking"
-3jhHgFEUp4,"Male speech, man speaking"
-EsCFzhpfCI,"Male speech, man speaking"
-H6BJfRqeno,"Male speech, man speaking"
-vx9zMc57AU,"Male speech, man speaking"
-GSCu896zWQ,"Male speech, man speaking"
0MWno7YOWK4,"Male speech, man speaking"
0dOhn114Xng,"Male speech, man speaking"
0pe9Azqa3N8,"Male speech, man speaking"
0GUjeQgnxq0,"Male speech, man speaking"
-2mdF47kZ2o,"Male speech, man speaking"
0rv-EVSEUUU,"Male speech, man speaking"
04pxOCRZfhg,"Male speech, man speaking"
0RoAsnTIm5Q,"Male speech, man speaking"
-tbgjodN-EU,"Male speech, man speaking"
0zPU4mw3bvY,"Male speech, man speaking"
0I9Vt2x71d8,"Male speech, man speaking"
0qvQIuQoODo,"Male speech, man speaking"
-v9k87jYE0Q,"Male speech, man speaking"
00AoQ3PeETk,"Male speech, man speaking"
-pi6fEexydo,"Male speech, man speaking"
0duq5feaxqY,"Male speech, man speaking"
-TCDqe327us,"Male speech, man speaking"
0wVM3uHLbfE,"Male speech, man speaking"
14S_r3opEFY,"Male speech, man speaking"
17PmRIJG9BQ,"Male speech, man speaking"
0vjGsf9FLgE,"Male speech, man speaking"
-mstarcmomw,"Male speech, man speaking"
-XmzKGZUnA4,"Male speech, man speaking"
0BhWZstb-Ns,"Male speech, man speaking"
0Glu5tCvIo0,"Male speech, man speaking"
-n4MmiWZnGc,"Male speech, man speaking"
-N0eWDX5v8Y,"Male speech, man speaking"
0rpm7fu8kOA,"Male speech, man speaking"
15pI-cO__lE,"Male speech, man speaking"
0mwUH8lRgFc,"Male speech, man speaking"
-qesxG4nu14,"Male speech, man speaking"
-oxIb4pGuh4,"Male speech, man speaking"
17gznXK9h44,"Male speech, man speaking"
-j9TbKCJMwI,"Male speech, man speaking"
-ogkuDwDw_s,"Male speech, man speaking"
0fLBygmve-E,"Male speech, man speaking"
-J_mFjrsMlo,"Male speech, man speaking"
0RnOTiwvgK4,"Male speech, man speaking"
-FdpRMw2CYs,"Male speech, man speaking"
06OCI6Yo7a0,"Male speech, man speaking"
0FF2Dm9GMDE,"Male speech, man speaking"
17tdWaF8VdA,"Male speech, man speaking"
0BV2NBQzQ5A,"Male speech, man speaking"
0zz6Hz52uHs,"Male speech, man speaking"
0rCdk2iMHSQ,"Male speech, man speaking"
018WshwFA94,"Male speech, man speaking"
-RlKkB4IcwE,"Male speech, man speaking"
