idx,label
v_TableTennisShot_g10_c02,TableTennisShot
v_WritingOnBoard_g21_c07,WritingOnBoard
v_SoccerPenalty_g10_c03,SoccerPenalty
v_Skiing_g18_c04,Skiing
v_Hammering_g20_c01,Hammering
v_CleanAndJerk_g11_c03,CleanAndJerk
v_BoxingPunchingBag_g10_c03,BoxingPunchingBag
v_BalanceBeam_g23_c01,BalanceBeam
v_PlayingSitar_g23_c01,PlayingSitar
v_BabyCrawling_g20_c05,BabyCrawling
v_Fencing_g25_c04,Fencing
v_ApplyEyeMakeup_g24_c03,ApplyEyeMakeup
v_SkyDiving_g18_c01,SkyDiving
v_PommelHorse_g21_c01,PommelHorse
v_HeadMassage_g10_c02,HeadMassage
v_StillRings_g24_c03,StillRings
v_BoxingSpeedBag_g13_c05,BoxingSpeedBag
v_MoppingFloor_g14_c02,MoppingFloor
v_Punch_g09_c04,Punch
v_CricketShot_g16_c07,CricketShot
v_FrontCrawl_g17_c02,FrontCrawl
v_BaseballPitch_g24_c01,BaseballPitch
v_BandMarching_g25_c07,BandMarching
v_IceDancing_g10_c07,IceDancing
v_MilitaryParade_g18_c06,MilitaryParade
v_ParallelBars_g14_c04,ParallelBars
v_JugglingBalls_g24_c01,JugglingBalls
v_PlayingCello_g14_c04,PlayingCello
v_SumoWrestling_g24_c01,SumoWrestling
v_PoleVault_g20_c02,PoleVault
v_BoxingSpeedBag_g14_c04,BoxingSpeedBag
v_Rafting_g16_c01,Rafting
v_PlayingCello_g25_c06,PlayingCello
v_BodyWeightSquats_g14_c03,BodyWeightSquats
v_PlayingViolin_g13_c01,PlayingViolin
v_HighJump_g14_c04,HighJump
v_BenchPress_g12_c04,BenchPress
v_FrontCrawl_g13_c01,FrontCrawl
v_WallPushups_g10_c05,WallPushups
v_BoxingSpeedBag_g09_c04,BoxingSpeedBag
v_PlayingFlute_g23_c03,PlayingFlute
v_CliffDiving_g23_c02,CliffDiving
v_BalanceBeam_g09_c02,BalanceBeam
v_Nunchucks_g24_c03,Nunchucks
v_WritingOnBoard_g22_c07,WritingOnBoard
v_PlayingDhol_g18_c01,PlayingDhol
v_BrushingTeeth_g22_c05,BrushingTeeth
v_SumoWrestling_g12_c01,SumoWrestling
v_PlayingGuitar_g20_c03,PlayingGuitar
v_JumpingJack_g09_c06,JumpingJack
v_Drumming_g09_c03,Drumming
v_PommelHorse_g10_c04,PommelHorse
v_WalkingWithDog_g23_c01,WalkingWithDog
